userid,rating,rating_number,category,address,city
Levy Restaurants,3.8,6,Food products supplier,115 Federal St · In PNC Park,Pittsburgh
China Wok,4.0,208,Restaurant,1202 Fifth Ave · In Duquesne University,Pittsburgh
Arby's,4.0,965,Fast Food,808 Liberty Ave,Pittsburgh
Barbirou Greek Gyro,5.0,8,Fondue,414 Grant St · In City-County Building,Pittsburgh
Sesame Garden,4.1,271,Chinese,202 Shiloh St,Pittsburgh
Chan An Restaurant,3.9,112,Chinese,2013 Wharton St · In Wharton Square,Pittsburgh
Papa Allen’s Pizza,4.2,485,Pizza,107 Smithfield St,Pittsburgh
Allegheny Sandwich Shoppe,4.7,378,Sandwich,822 Western Ave,Pittsburgh
Bae Bae's Cafe,4.7,61,Cafe,945 Liberty Ave,Pittsburgh
Al's Fish & Chicken,4.3,123,Fish & Chips,1860 Centre Ave · In Abe's Market,Pittsburgh
Shale's Cafe A Pittsburgh Bar,4.7,69,Bar,1208 Fifth Ave · In Duquesne University,Pittsburgh
The Original Giovanni's Pizza,4.2,327,Pizza,1504 Fifth Ave,Pittsburgh
Pizza Parma,4.1,918,Pizza,963 Liberty Ave,Pittsburgh
Beto's Pizza,4.5,2500,Pizza,1473 Banksville Rd,Pittsburgh
Chipotle Mexican Grill,3.5,974,Mexican,211 Forbes Ave,Pittsburgh
Cinderlands Warehouse,4.3,354,Brewpub,2601 Smallman St,Pittsburgh
Zhuo’s Kitchen,5.0,2,Family-friendly,4632 Centre Ave,Pittsburgh
Subway,3.9,44,Sandwich,225 Ross St Suite 100,Pittsburgh
Subway,3.8,101,Sandwich,414 Smithfield St,Pittsburgh
Subway,3.1,103,Sandwich,717 Liberty Ave,Pittsburgh
Southern Tier Brewery Pittsburgh,4.6,1500,Brewery,316 N Shore Dr,Pittsburgh
Subway,3.8,83,Sandwich,3 Market Square,Pittsburgh
Sullivan's Steakhouse,4.0,222,Steak,"600 Grant Street Lower, Lobby · In US Steel Tower - 600 Grant Street",Pittsburgh
Fairmont Pittsburgh,4.4,1100,Restaurant,510 Market St · In Three Pnc Plaza,Pittsburgh
Jimmy John's,3.7,148,Sandwich,1027 Penn Ave · In the David L. Lawrence Convention Center,Pittsburgh
Jimmy John's,3.8,147,Sandwich,501 Grant St #140 · In Union Trust Building,Pittsburgh
Trackside Restaurant | Sheraton Station Square,4.1,89,Fine Dining,Three Rivers Heritage Trail · In Sheraton Pittsburgh Hotel at Station Square,Pittsburgh
Supper on Penn,4.7,53,American,1211 Penn Ave,Pittsburgh
The Café at the Frick,4.5,210,Cafe,7227 Reynolds St · In the Frick Art & Historical Center,Pittsburgh
Secretos,4.8,268,Puerto Rican,1334 Fifth Ave · In Hapa Hawaiian Grill,Pittsburgh
La Gondola Pizzeria,4.1,71,Pizza,4 Market Square,Pittsburgh
Z-Best Barbeque Chicken & Ribs,4.5,369,Barbecue,2900 Bedford Ave,Pittsburgh
Earth Inspired Salads,4.2,29,Health Food,611 William Penn Pl · In Regional Enterprise Tower,Pittsburgh
Biergarten,4.0,176,Bar,"620 William Penn Pl · In the Hotel Monaco Pittsburgh, a Kimpton Hotel",Pittsburgh
Dunkin',3.8,287,Coffee shop,601 Grant St,Pittsburgh
The Sturges Speakeasy,4.5,1200,American,400 Forster St,Harrisburg
McGrath's Pub,4.6,1100,Irish,202 Locust St,Harrisburg
Home 231,4.6,909,New American,231 North St,Harrisburg
Mangia Qui,4.6,271,Italian,272 North St,Harrisburg
Cork & Fork,4.5,827,Small Plates,200 State St,Harrisburg
Millworks,4.6,1400,Restaurant,340 Verbeke St,Harrisburg
El Sol Mexican Restaurant,4.5,1200,Mexican,18 S 3rd St,Harrisburg
Pastorante,4.6,421,Italian,1012 N 3rd St,Harrisburg
Crawdaddys Restaurant & Bar,4.1,606,Restaurant,1500 N 6th St,Harrisburg
Stock's on 2nd,4.5,326,American,211 N 2nd St,Harrisburg
note. bistro & winebar,4.7,223,Bistro,1530 N 2nd St,Harrisburg
Los Tres Cubanos Restaurant,4.6,618,Cuban,540 Race St,Harrisburg
Federal Taphouse,4.1,755,American,234 N 2nd St,Harrisburg
Bacco Pizzeria and Wine Bar,4.2,535,Pizza,20 N 2nd St,Harrisburg
1700 Degrees Steakhouse,4.6,330,Restaurant,One N 2nd St · In the Hilton Harrisburg,Harrisburg
Ad Lib Craft Kitchen & Bar,4.4,462,American,1 N 2nd St · In the Hilton Harrisburg,Harrisburg
Sammy's Authentic Italian Restaurant,4.5,423,Italian,502 N 3rd St #1112,Harrisburg
Dodge City Steakhouse,4.4,1300,Steak,1037 Paxton St #1645,Harrisburg
Arepa House,4.6,145,Restaurant,404 N 2nd St,Harrisburg
Cafe Fresco Center City,4.5,647,New American,215 N 2nd St,Harrisburg
Rubicon,4.6,366,Restaurant,270 North St,Harrisburg
Carley's Ristorante,4.5,125,Restaurant,204 Locust St,Harrisburg
Nyree's Restaurant,3.0,2,Soul,1029 Market St,Harrisburg
Capow Jamaican restaurant,4.5,23,Jamaican,1403 Market St,Harrisburg
Au Bon Lieu,4.5,374,Family-friendly,1 N 3rd St · In Strawberry Square,Harrisburg
Bangkok 56,4.5,789,Thai,1917 Paxton St #2962,Harrisburg
Isabelle's Southern Cuisine,4.5,65,Soul,306 Reily St,Harrisburg
Miyako Sushi,4.4,345,Sushi,227 N 2nd St,Harrisburg
Keystone Restaurant,4.5,677,Family-friendly,1000 N 3rd St,Harrisburg
The Vegetable Hunter - Harrisburg - Vegan Cafe and Boutique Brewery,4.3,386,Vegan,614 N 2nd St,Harrisburg
Burger Yum,4.6,1100,Hamburger,400 N 2nd St,Harrisburg
Rice & Beans bar and restaurant,4.2,717,Spanish,319 S 17th St,Harrisburg
Suba Tapas,4.5,67,Spanish,272 North St,Harrisburg
MASA,4.9,123,Mexican,316 N 2nd St,Harrisburg
state street restaurant,4.3,6,Diner,2020 State St,Harrisburg
The Jackson House,4.7,639,Hamburger,1004 N 6th St,Harrisburg
Porter's House Jamaican Restaurant in the Market,4.2,70,Jamaican,1233 N 3rd St · In the Broad Street Market,Harrisburg
Mariama's African and Jamaican Restaurant,4.3,473,West African,1029 Market St,Harrisburg
Freshido,4.7,233,Asian,300 Market St #157-159 · In Strawberry Square,Harrisburg
Anastacia's Restaurant Bar,3.7,190,Restaurant,1535 N 6th St,Harrisburg
23 Restaurant,3.3,4,Restaurant,"Crowne Plaza, 23 S 2nd St · In Crowne Plaza Harrisburg-Hershey",Harrisburg
Porter's House Jamaican Restaurant 6th St,4.6,85,Jamaican,2001 N 6th St,Harrisburg
Alicia's Deli Restaurant,4.7,19,Restaurant,116 Pine St,Harrisburg
Ougis Cocina,4.5,13,Restaurant,1233 N 3rd St · In the Broad Street Market,Harrisburg
Sad's Soul Food Cafe,4.0,74,Soul,1706 Walnut St,Harrisburg
Tres Hermanos,4.5,1600,Mexican,712 S Cameron St,Harrisburg
Philadelphia Steaks & Hoagies,4.7,254,Cheesesteaks,23 N 4th St,Harrisburg
District Bar & Lounge,4.3,145,Grill,1014 N 3rd St,Harrisburg
State Cafe,4.6,59,Diner,322 N 2nd St · In Presbyterian Apartments,Harrisburg
Tasty Dishes,4.5,41,Restaurant,1233 N 3rd St · In the Broad Street Market,Harrisburg
Aleco's Café & Restaurant,4.4,298,Italian,714 N 3rd St,Harrisburg
Joe Mama's Kitchen,4.6,210,Restaurant,2233 Derry St,Harrisburg
Boat Harrisburg,3.6,8,Fast Food,Riverside Dr · In City Island Harrisburg,Harrisburg
Two Brothers BBQ,4.5,111,Barbecue,1233 N 3rd St · In the Broad Street Market,Harrisburg
Marsico's Italian Food Cart,4.6,5,Italian,"201 Market St · In Market Square, Harrisburg",Harrisburg
Halfway Tree Jamaican Restaurant,4.2,83,Jamaican,145 S Cameron St,Harrisburg
Anafe Restaurant,4.5,15,Dominican,1222 Mulberry St,Harrisburg
Hookers Seafood Joint (Harrisburg),4.8,20,Restaurant,405 Walnut St,Harrisburg
El Charro Mexican Restaurant,4.4,148,Mexican,425 S Cameron St,Harrisburg
Paxtang Grill,4.5,462,Restaurant,"Paxtang, PA",Harrisburg
Arooga's,3.7,1200,Restaurant,201 N 2nd St,Harrisburg
JULIE'S AFRICAN CARIBBEAN & CONTINENTAL RESTAURANT.,4.6,51,African,425 S Cameron St,Harrisburg
Palumbo's Italian Eatery,4.4,352,Pizza,104 N 2nd St,Harrisburg
Deco Grab & Go,4.9,56,Restaurant,240 N 3rd St Suite 102,Harrisburg
Kanlaya Thai Restaurant,4.5,258,Thai,1030 S 13th St · In Asia Mall,Harrisburg
Little Saigon Restaurant,4.6,363,Vietnamese,2800 Paxton St,Harrisburg
Tacos Mi Tierra,4.7,689,Mexican,1416 Derry St,Harrisburg
Yokohama,4.4,400,Sushi,560 S 29th St,Harrisburg
Pho 99,4.4,157,Vietnamese,1030 S 13th St · In Asia Mall,Harrisburg
Mel's Rock N' BBQ,3.8,14,Barbecue,1233 N 3rd St · In the Broad Street Market,Harrisburg
Halaal Restaurant,4.6,35,African,138 S 13th St,Harrisburg
Santa Fe Taco Factory,3.9,28,Mexican,218 Strawberry Square · In Strawberry Square,Harrisburg
El Verdadero Sabor de Mexico,4.7,246,Mexican,325 S 17th St,Harrisburg
Taco Amigos,4.4,501,Mexican,200 N 2nd St,Harrisburg
The LA Squared (Garden's Son),4.6,538,Restaurant,304 Reily St,Harrisburg
El Carrizal Mexican Restaurant’s,4.5,26,Mexican,1325 1/2 Derry St,Harrisburg
Roxy's Cafe,4.3,424,Restaurant,274 North St,Harrisburg
Sakura Tokyo,3.6,36,Asian,404 Strawberry St · In Strawberry Square,Harrisburg
Good Taste,4.0,186,Chinese,1015 N 3rd St 101 #101,Harrisburg
The Cheesesteak Guy,4.6,47,Cheesesteaks,1233 N 3rd St · In the Broad Street Market,Harrisburg
Subway Café,4.6,516,Italian,1000 Herr St,Harrisburg
New Orleans Po Boy & French Bakery,4.5,73,Sandwich,1030 S 13th St Unit 112 · In Asia Mall,Harrisburg
Halal Food New York Gyro - Food Truck,4.7,195,Restaurant,235 N 2nd St,Harrisburg
Grams Grill,5.0,6,Restaurant,25 Argyle St,Harrisburg
The Patio at the Hilton Harrisburg,3.6,10,Restaurant,1 N 2nd St · In the Hilton Harrisburg,Harrisburg
Yami Korean Food,4.0,1,Korean,"Broad Street Market, 1233 N 3rd St · In the Broad Street Market",Harrisburg
El Pilon de Carmen,4.5,33,Dominican,2306 Walnut St · In Paradise Plaza,Harrisburg
Chan's,4.1,218,Chinese,2000 N 6th St,Harrisburg
The Original Hot Dog Factory,4.7,189,Hot Dog,317 Market St,Harrisburg
Alexander's,5.0,2,Restaurant,325 S 17th St,Harrisburg
Ciervo's,4.5,426,Pizza,1435 N 2nd St,Harrisburg
King Assad's Seafood Palace,4.1,38,Seafood,1706 Walnut St,Harrisburg
Punta Cana Chimichurri House,4.3,6,Dominican,1745 Derry St · In Covenant Community Church,Harrisburg
Great Wall,3.9,251,Chinese,2905 N 7th St · In Uptown Plaza Mall,Harrisburg
Ward of Health,4.5,44,Vegan,1233 N 3rd St · In the Broad Street Market,Harrisburg
Chef Chen's Inc.,3.5,44,Chinese,210 Strawberry St · In Strawberry Square,Harrisburg
Dragon Chinese Restaurant,3.6,136,Chinese,101 S 25th St Suite 9 · In Kline Plaza,Harrisburg
Capitol Restaurant by C&J,5.0,1,Restaurant,Commonwealth Ave,Harrisburg
Taqueria el Compadre,5.0,9,Fast Food,1233 N 3rd St #07087 · In the Broad Street Market,Harrisburg
Golden Star Restaurant,4.4,181,Chinese,1402 Derry St,Harrisburg
Two Brothers Pizzeria of Midtown,4.4,413,Pizza,1426 N 3rd St,Harrisburg
Negril Restaurant & Grocery,4.0,8,Jamaican,1231 S 13th St,Harrisburg
Yellow Bird Café,4.7,365,Cafe,1320 N 3rd St,Harrisburg
Niko's Pizza,4.4,183,Pizza,224 N 2nd St #1486,Harrisburg
New 2nd Wok,3.5,50,Chinese,106 N 2nd St,Harrisburg
Smucker's Chicken,4.7,3,Chicken,1233 N 3rd St · In the Broad Street Market,Harrisburg
Fisher's Deli,4.5,233,Restaurant,1233 N 3rd St · In the Broad Street Market,Harrisburg
Via Roma Pizza,4.0,167,Pizza,301 Seneca St,Harrisburg
Kajimachi Japanese Steakhouse,4.2,556,Japanese,2517 Paxton St,Harrisburg
Front Street Diner,4.2,2100,Restaurant,4003 N Front St,Harrisburg
Theo's Snack Bar,4.4,7,Snack bar,1200 N 7th St,Harrisburg
Glass Lounge Restaurant,4.6,1600,Steak,4745 N Front St,Harrisburg
The Melting Pot,4.5,1100,Fondue,3350 Paxton St · In Scottsdale Plaza,Harrisburg
Subway,4.1,198,Sandwich,"301 Market St 1st Floor, Suite 1",Harrisburg
Boro Bar & Grill RiverView,4.2,1000,Grill,4425 N Front St,Harrisburg
Peachtree Restaurant and Lounge,4.4,1500,Restaurant,251 N Progress Ave,Harrisburg
Two Guys Pizza Restaurant,4.4,293,Pizza,"1649, 4361 N Front St #1",Harrisburg
Progress Grill,4.4,670,Fine Dining,3526 Walnut St,Harrisburg
La Oaxaqueña Mexican Restaurant,3.9,134,Mexican,3 N Progress Ave · In Progress Plaza,Harrisburg
Tropical Smoothie Cafe,3.9,50,Restaurant,235 Strawberry St · In Strawberry Square,Harrisburg
Kondu,4.5,607,Sushi,3601 Paxton St · In the Harrisburg Mall,Harrisburg
H & J's Place,3.6,7,Bar,2472 N 6th St,Harrisburg
MDO'S Pizza 2,3.9,244,Pizza,1908 Paxton St,Harrisburg
Texas Roadhouse,4.2,2500,Steak,3529 Union Deposit Rd · In Union Square Shopping Center,Harrisburg
feed your soul restaurant,4.0,273,Soul,421 Friendship Rd suite 4,Harrisburg
McDonald's,3.3,912,Fast Food,720 Division St · In Uptown Plaza Mall,Harrisburg
McDonald's,3.1,944,Fast Food,101 S 25th St · In Kline Plaza,Harrisburg
Rookie's Craft Burger Bar,4.3,574,Bar,2238 Derry St,Harrisburg
P.J. Whelihan's Pub + Restaurant - Harrisburg,4.3,840,Restaurant,3882 Union Deposit Rd Unit 33 · In Dauphin Plaza,Harrisburg
Gabriella Italian Restaurant,4.6,1300,Italian,3907 Jonestown Rd,Harrisburg
Lahori Kabab Restaurant | Harrisburg,4.0,921,Pakistani,3840 Union Deposit Rd · In Dauphin Plaza,Harrisburg
Jimmy John's,4.0,163,Sandwich,219 N 2nd St,Harrisburg
Beijing Restaurant,3.6,216,Chinese,47 N Progress Ave · In Progress Plaza,Harrisburg
Harvest Seasonal Grill - Harrisburg,4.5,1600,American,2625 Brindle Dr · In The Shoppes at Susquehanna Marketplace,Harrisburg
Fiesta Mexico,4.3,3100,Mexican,3957 Paxton St,Harrisburg
Alva Hotel & Restaurant,3.4,62,Hotel,19 S 4th St,Harrisburg
Tomato Pie Cafe,4.4,1500,Cafe,3950 Tecport Dr,Harrisburg
Wendy's,3.4,1100,Fast Food,3925 N Front St,Harrisburg
El Rancho Restaurante y Pupuseria,4.3,719,Mexican,771 Eisenhower Blvd,Harrisburg
Gilligans Bar & Grill,4.4,1500,Restaurant,987 Eisenhower Blvd,Harrisburg
Tavern on the Hill,4.3,356,Fine Dining,"Enola, PA",Harrisburg
Heirloom: An American Bistro,4.1,9,American,"Camp Hill, PA · In Penn Harris Hotel Trademark Collection by Wyndham",Harrisburg
RiverRun Restaurant & Lounge,3.0,9,Restaurant,"765 Eisenhower Blvd · In Hotel Indigo Harrisburg – Hershey, an IHG Hotel",Harrisburg
Soul House Cafe,4.3,457,Soul,1639 Paxton St,Harrisburg
LongHorn Steakhouse,4.3,1500,Steak,4590 Jonestown Rd · In the Colonial Park Mall,Harrisburg
O'Reilly's Tap Room & Kitchen,4.3,691,Pub,800 E Park Dr #2807 · In the Best Western Premier The Central Hotel & Conference Center,Harrisburg
Herby's El Mexicano Restaurant,4.5,392,Mexican,720 Main St,Harrisburg
Lancaster Brewing Company - Harrisburg,4.5,784,Brewpub,469 Eisenhower Blvd,Harrisburg
Grateful Goat Brewing & Provisions,4.0,1000,Restaurant,"Camp Hill, PA",Harrisburg
Vino Italian Restaurant,4.6,222,Italian,6049 Allentown Blvd · In Paxton Square,Harrisburg
Gyro Express Halal Cart,4.4,118,Halal,326-344 Market St,Harrisburg
Towne House Café,5.0,2,Restaurant,660 Boas St · In Towne House Apartments,Harrisburg
Eagle Bar and Restaurant,4.4,386,Grill,1361 N Mountain Rd,Harrisburg
Alvaro Bread & Pastry Shoppe,4.8,555,Bakery,236 Peffer St,Harrisburg
Quechua's Chicken,4.2,380,Restaurant,"Camp Hill, PA",Harrisburg
Beer Garden & Eatery At Harrisburg,3.7,56,Grill,"Lower Paxton Township, PA · In GIANT",Harrisburg
Popeyes Louisiana Kitchen,3.4,2300,Chicken,1900 N Cameron St,Harrisburg
Greystone Public House,4.5,976,American,2120 Colonial Rd,Harrisburg
Visaggio's,4.6,453,Italian,"Enola, PA",Harrisburg
Subway,3.1,19,Sandwich,3501 Paxton St Fc-6,Harrisburg
Cuba Libre Restaurant & Rum Bar - Philadelphia,4.4,3000,Cuban,10 S 2nd St · Near the Museum of the American Revolution,Philadelphia
Southwark Restaurant,4.7,231,New American,701 S 4th St,Philadelphia
El Vez,4.5,4800,Mexican,121 S 13th St,Philadelphia
Zahav,4.7,2400,Israeli,237 St James Pl · Near the Museum of the American Revolution,Philadelphia
Parc,4.6,4500,French,227 S 18th St,Philadelphia
Talula's Garden,4.7,2000,Restaurant,210 W Washington Square,Philadelphia
Vernick Food & Drink,4.7,822,New American,2031 Walnut St,Philadelphia
Volvér,4.3,230,Fine Dining,300 S Broad St · In Kimmel Center for the Performing Arts,Philadelphia
The Love.,4.6,1200,American,130 S 18th St,Philadelphia
Her Place Supper Club,4.9,68,Restaurant,1740 Sansom St,Philadelphia
The Capital Grille,4.6,1800,Fine Dining,1338-46 Chestnut St · Near Philadelphia City Hall,Philadelphia
Spice Finch,4.4,587,Mediterranean,220 S 17th St · In The Warwick Hotel Rittenhouse Square Philadelphia,Philadelphia
Barbuzzo,4.5,1800,Mediterranean,110 S 13th St,Philadelphia
The Dandelion,4.6,3800,Restaurant,124 S 18th St,Philadelphia
Amada,4.5,1800,Spanish,217-219 Chestnut St · Near the Museum of the American Revolution,Philadelphia
Abe Fisher,4.7,740,Jewish,1623 Sansom St,Philadelphia
Lacroix Restaurant at The Rittenhouse,4.6,245,Restaurant,210 W Rittenhouse Square · In Rittenhouse Hotel,Philadelphia
Fork,4.4,722,American,306 Market St · Near the Museum of the American Revolution,Philadelphia
Dutch Eating Place,4.7,712,Pennsylvania Dutch restaurant,51 N 12th St · In the Reading Terminal Market,Philadelphia
Butcher and Singer,4.7,1700,Steak,1500 Walnut St,Philadelphia
Scarpetta Philadelphia,4.5,308,Restaurant,210 W Rittenhouse Square · In Rittenhouse Hotel,Philadelphia
a.kitchen+bar,4.4,479,New American,135 S 18th St · In AKA Rittenhouse Square,Philadelphia
Estia Restaurant,4.5,1400,Mediterranean,1405-07 Locust St,Philadelphia
Rouge,4.1,522,Restaurant,205 S 18th St · In the Rittenhouse Claridge,Philadelphia
Morimoto,4.6,1900,Sushi,723 Chestnut St,Philadelphia
Suraya Restaurant,4.7,2600,Lebanese,1528 Frankford Ave,Philadelphia
Royal Boucherie,4.5,631,French,52 S 2nd St · Near the Museum of the American Revolution,Philadelphia
River Twice,4.6,141,Restaurant,1601 E Passyunk Ave,Philadelphia
Le Virtù,4.5,385,Restaurant,1927 E Passyunk Ave,Philadelphia
Pumpkin BYOB,4.5,292,American,1713 South St,Philadelphia
Friday Saturday Sunday,4.7,551,American,261 S 21st St,Philadelphia
Vetri Cucina,4.8,605,Italian,1312 Spruce St,Philadelphia
Fogo de Chão Brazilian Steakhouse,4.5,5000,Brazilian,1337 Chestnut St · Near Philadelphia City Hall,Philadelphia
Stir Restaurant,4.4,37,New American,2600 Benjamin Franklin Pkwy · In the Philadelphia Museum of Art,Philadelphia
Ember & Ash,4.8,110,Restaurant,1520 E Passyunk Ave,Philadelphia
The Victor Café,4.8,1200,Italian,1303 Dickinson St,Philadelphia
Jean-Georges Philadelphia,4.5,372,Restaurant,1 N 19th St · In Four Seasons Hotel Philadelphia at Comcast Center,Philadelphia
La Famiglia Ristorante,4.5,287,Italian,8 S Front St,Philadelphia
Seorabol Center City,4.3,233,Korean,1326 Spruce St · In Center City One,Philadelphia
Terakawa Ramen,4.7,3200,Ramen,204 N 9th St,Philadelphia
Little Nonna's,4.5,1200,Italian,1234 Locust St,Philadelphia
Vernick Fish,4.8,240,Oyster Bar,1 N 19th St · In the Comcast Innovation and Technology Center,Philadelphia
Laurel Restaurant,4.5,281,Modern French,1617 E Passyunk Ave,Philadelphia
Oyster House,4.6,2100,Seafood,1516 Sansom St,Philadelphia
Ocean Prime,4.5,1500,Seafood,124 S 15th St,Philadelphia
Rex at the Royal,4.5,516,Southern,1524 South St,Philadelphia
Patchwork Philly,4.3,20,American,1620 Chancellor St · In Hyatt Centric Center City Philadelphia,Philadelphia
Palizzi Social Club,4.8,186,Italian,1408 S 12th St,Philadelphia
South Philly Barbacoa,4.7,1900,Mexican,1140 S 9th St,Philadelphia
Charley Dove,4.4,315,French,276 S 20th St,Philadelphia
SOUTH Restaurant & Jazz Club,4.6,2300,Southern,600 N Broad St,Philadelphia
High Street Philly,4.5,848,Delivery Restaurant,101 S 9th St · In the Ben Franklin House,Philadelphia
El Rey,4.3,1400,Mexican,2013 Chestnut St · Near the Mütter Museum,Philadelphia
Kensington Quarters,4.5,564,Seafood,1310 Frankford Ave,Philadelphia
Tria Cafe Rittenhouse,4.7,499,Restaurant,123 S 18th St,Philadelphia
Bud & Marilyn's,4.5,1900,American,1234 Locust St,Philadelphia
Cilantro Mediterranean Cuisine,4.9,1900,Mediterranean,613 S 4th St,Philadelphia
Apricot Stone,4.6,412,Mediterranean,"601 GPS, 1040 North 2nd Street, 1040 N American St",Philadelphia
Chart House,4.0,1400,Seafood,555 S Christopher Columbus Blvd,Philadelphia
Olea,4.9,125,Restaurant,232 Arch St · Near the Betsy Ross House,Philadelphia
Double Knot,4.6,1900,Japanese,120 S 13th St,Philadelphia
Harper's Garden,4.2,875,Restaurant,31 S 18th St · In Duane Morris Plaza,Philadelphia
Lali Restaurant,4.2,159,Restaurant,744 Red Lion Rd,Philadelphia
Ocho Rios Parrilla,4.6,103,Caribbean,1710 E Passyunk Ave,Philadelphia
Positano Coast by Aldo Lamberti,4.4,1400,Italian,212 Walnut St 2nd Floor · Near the Museum of the American Revolution,Philadelphia
Laser Wolf,4.6,489,Israeli,1301 N Howard St,Philadelphia
Dim Sum Garden,4.2,3400,Chinese,1020 Race St · Near the Reading Terminal Market,Philadelphia
XIX (Nineteen) Restaurant,4.2,396,Restaurant,200 S Broad St 19th floor · In the Hyatt Regency Philadelphia at Penn's Landing,Philadelphia
The Black Sheep Pub & Restaurant,4.4,875,Irish pub,247 S 17th St,Philadelphia
13 Restaurant,3.9,113,American,1201 Market St · In Philadelphia Marriott Downtown,Philadelphia
Ambra Restaurant,4.6,75,Italian,705 S 4th St,Philadelphia
Puyero Venezuelan Flavor,4.7,664,Venezuelan,524 S 4th St,Philadelphia
Irwin's,4.6,182,Italian,800 Mifflin St · In Bok,Philadelphia
Saloon Restaurant,4.7,515,Italian,750 S 7th St,Philadelphia
Vedge,4.8,1400,Vegan,1221 Locust St,Philadelphia
Urban Farmer Philadelphia,4.4,1300,Steak,"1850 Benjamin Franklin Pkwy · In The Logan Philadelphia, Curio Collection by Hilton",Philadelphia
Gabriella's Vietnam,4.3,142,Restaurant,1837 E Passyunk Ave,Philadelphia
Fine Palate,4.1,115,New American,231 S 15th St,Philadelphia
La Viola Bistro,4.2,593,Italian,253 S 16th St,Philadelphia
Ristorante Pesto,4.8,902,Italian,1915 S Broad St,Philadelphia
Bistro Romano,4.6,841,Italian,120 Lombard St,Philadelphia
SALLY Philadelphia,4.5,102,Restaurant,2229 Spruce St,Philadelphia
Cafe La Maude,4.7,1900,Brunch,816 N 4th St,Philadelphia
The Good King Tavern,4.7,392,Modern French,614 S 7th St,Philadelphia
Alpen Rose,4.8,320,Steak,116 S 13th St · In Tredici Enoteca,Philadelphia
Mish Mish,4.7,69,Restaurant,1046 Tasker St,Philadelphia
Twenty Manning,4.3,297,Middle Eastern,261 S 20th St,Philadelphia
Sabroso+Sorbo,3.6,29,Spanish,21 N Juniper St · In the Courtyard Philadelphia Downtown,Philadelphia
Libertine Restauraunt,4.2,177,American,261 S 13th St · In Fairfield Inn & Suites by Marriott Philadelphia Downtown/Center City,Philadelphia
Dolce Italian - Philadelphia,4.0,1000,Italian,1437 Chestnut St · Near Philadelphia City Hall,Philadelphia
Cicala at the Divine Lorraine,4.4,158,Italian,699 N Broad St · In the Divine Lorraine Hotel,Philadelphia
Maggiano's Little Italy,4.4,4000,Italian,1201 Filbert St · Near the Reading Terminal Market,Philadelphia
Nom Wah Philadelphia,4.5,789,Dim Sum,218 N 13th St · Near the Pennsylvania Academy of the Fine Arts,Philadelphia
Ralph's Italian Restaurant,4.4,1300,Italian,760 S 9th St,Philadelphia
Hardena,4.7,590,Indonesian,1754 S Hicks St #2217,Philadelphia
Forsythia,4.6,216,French,233 Chestnut St · Near the Museum of the American Revolution,Philadelphia
Amuse,3.9,56,Bistro,1421 Arch St · In Le Méridien Philadelphia,Philadelphia
Goldie,4.7,853,Falafel,1911 Sansom St,Philadelphia
Cucina Maria South Philly,4.6,208,Italian,768 S 8th St,Philadelphia
Phở 75,4.7,1300,Vietnamese,1122 Washington Ave F,Philadelphia
Pearl and Mary Oyster Bar,4.5,71,Seafood,114 S 13th St,Philadelphia
Del Frisco's Double Eagle Steakhouse,4.4,3100,Steak,1428-1432 Chestnut St,Philadelphia
Far East Descendant,4.4,134,Cantonese,251 N Clarion St,Philadelphia
1518 Bar & Grill,4.4,517,Grill,1518 Sansom St,Philadelphia
Amma's South Indian Cuisine,4.3,1300,South Indian,1518 Chestnut St,Philadelphia
Franklin Social American Kitchen & Bar,3.6,75,Restaurant,401 Chestnut St · In Renaissance Philadelphia Downtown Hotel,Philadelphia
Little Fish BYOB,4.7,284,Seafood,746 S 6th St,Philadelphia
Malooga,4.8,606,Middle Eastern,134 Chestnut St · Near the Museum of the American Revolution,Philadelphia
Restaurant Aleksandar,4.6,90,Modern European,126 S 19th St,Philadelphia
Mom-Mom's Kitchen,4.8,242,Polish,1505 South St,Philadelphia
Sor Ynez,4.6,148,Mexican,1800 N American St,Philadelphia
The Dinner House,4.7,329,Polish,2706 E Allegheny Ave,Philadelphia
P. J. Clarke’s At The Curtis,4.4,348,Restaurant,601 Walnut St · In the Curtis Publishing Company,Philadelphia
Huda,4.6,202,Restaurant,32 S 18th St,Philadelphia
Royal Sushi & Izakaya,4.7,799,Japanese,780 S 2nd St,Philadelphia
Bonchon Philadelphia,4.2,1600,Asian Fusion,1020 Cherry St · In Sleep Inn Center City,Philadelphia
Middle Child Clubhouse,4.6,335,American,1232 N Front St,Philadelphia
Keating's Rope and Anchor Bar + Kitchen,3.9,213,American,201 S Christopher Columbus Blvd · In Hilton Philadelphia at Penn's Landing,Philadelphia
South Philadelphia Tap Room,4.6,938,American,1509 Mifflin St,Philadelphia
Lau Kee Restaurant,4.4,77,Chinese,934 Race St,Philadelphia
Caribou Cafe,4.3,616,French,1126 Walnut St,Philadelphia
La Llorona Cantina,4.6,274,Mexican,1551 W Passyunk Ave,Philadelphia
Ho Sai Gai Restaurant,4.2,573,Chinese,1000 Race St,Philadelphia
Barclay Prime,4.7,1100,Steak,237 S 18th St,Philadelphia
Mike's BBQ,4.7,600,Barbecue,1703 S 11th St,Philadelphia
1731 Restaurant,4.8,24,Restaurant,1731 Packer Ave,Philadelphia
